id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;status
1;PNG Bedfordshire B2C;demand-driven;violet Stand-alone indigo;program payment HDD;Berkshire Nigeria;Re-contextualized program Borders;false
2;Tanzania synthesize;Chief Integrated Lock;Kids;Riel Auto Landing;withdrawal New;Architect action-items;false
3;Producer open-source Solutions;feed synthesizing SMTP;Multi-lateral Avon;indigo;redundant;deliverables North value-added;false
4;Cotton CSS feed;payment;Assurance;bluetooth Auto Wyoming;program navigate transform;navigating;false
5;Namibia Cambridgeshire;Executive New;Object-based Officer Bedfordshire;Administrator;Granite;Refined Cambridgeshire;false
6;Bedfordshire wireless back-end;Wisconsin transparent;distributed Clothing deploy;SDD;Incredible blockchains Pass;Web;true
7;pixel Cheese Ridge;Virtual Pierre Savings;Tools Pula withdrawal;productize Cambridgeshire Central;maroon deposit;North;false
8;Usability Louisiana eyeballs;impactful purple;Soap JSON Parks;front-end;Oval;Generic Small Buckinghamshire;true
9;database panel;Self-enabling;Steel Arab;Brand programming;bluetooth;Account Square Awesome;true
10;5th;hack Soap;Developer lavender Legacy;pink Representative;transmit;GB Graphic Small;false
