id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;status
1;Gorgeous Executive;Cotton;exuding;azure driver;Borders;Coordinator Direct;false
2;Wooden Plastic;Licensed back-end;purple;transmit payment Proactive;Computer Senior;Wooden Fully-configurable Fantastic;false
3;mindshare pink;Car Future-proofed;open-source payment Guernsey;payment;Coordinator;Hryvnia initiatives Buckinghamshire;true
4;management;hack Salad Concrete;deliver Bedfordshire;moratorium Wooden Virginia;synergies firewall Research;Jewelery;false
5;Reverse-engineered bandwidth-monitored Regional;Right-sized methodologies;Cotton Bedfordshire deposit;hacking card;Wooden Dynamic Island;embrace haptic;true
6;composite International;Cotton Michigan;Soft;Awesome Rubber;Platinum;Function-based panel;false
7;Creative;interactive Oro;Zealand Response Managed;Account Keyboard;turquoise neural;value-added card;false
8;quantify tolerance;Place Corner;payment Plastic Brunei;Implementation;contextually-based Licensed Buckinghamshire;embrace;true
9;Birr connecting rich;enterprise Vatu;mission-critical optimize;Refined Right-sized multi-tasking;alarm North;Virginia monitor SMS;false
10;fuchsia Sleek Keyboard;withdrawal;withdrawal Programmable partnerships;Avon;SQL;GB Computers Handmade;true
