id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;status
1;tangible;leading-edge multi-byte HTTP;Route Creative Cheese;Configurable Krona applications;innovate Louisiana District;Borders program Mouse;false
2;National Rapid;Kids high-level generate;Computers violet;Generic artificial Analyst;Mouse Buckinghamshire Regional;interactive;false
3;Oregon Metal Officer;Crest Data indexing;HTTP Switchable Visionary;Customer-focused;Tasty;Ergonomic Central synthesize;false
4;Bedfordshire Prairie Soap;interactive Nigeria;stable full-range Health;dedicated;Rupee web-readiness;drive;true
5;1080p Interactions Buckinghamshire;deposit deliverables Checking;Architect Sausages Plastic;withdrawal;Frozen;content;false
6;primary deposit e-services;Turkish;expedite;SCSI attitude-oriented;brand Facilitator Taiwan;administration Texas;true
7;bypass;empower;card;Soap magenta hack;Awesome;function experiences Sports;false
8;International pixel Towels;Fresh content-based visualize;transparent;Lights online Accountability;Ameliorated Customer;loyalty;true
9;compressing quantify;mindshare iterate;disintermediate;Fresh open-source Tasty;Oregon;Bacon Movies;false
10;granular;RAM matrix Pitcairn;Hawaii;Industrial Borders Architect;deposit distributed;calculating Lead compressing;true
